imDbId,title,fullTitle,type,year,imDb,metacritic,theMovieDb,rottenTomatoes,tV_com,filmAffinity,errorMessage
tt1302006,The Irishman,The Irishman (2019),Movie,2019,7.8,94,7.7,95,,7.3,
tt5074352,Dangal,Dangal (2016),Movie,2016,8.4,,8,,,7.4,
tt11989890,David Attenborough: A Life on Our Planet,David Attenborough: A Life on Our Planet (2020),Movie,2020,9,72,8.6,95,,8.1,
tt0169102,Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India (2001),Movie,2001,8.1,84,7.4,95,,7,
tt0384766,Rome,Rome (TV Series 2005–2007),TVSeries,2005,8.7,70,8.2,86,8.8,7.8,
tt3846674,To All the Boys I've Loved Before,To All the Boys I've Loved Before (2018),Movie,2018,7.1,64,7.8,,,5.6,
tt11464826,The Social Dilemma,The Social Dilemma (2020),Movie,2020,7.6,78,7.5,85,,6.8,
tt3967856,Okja,Okja (2017),Movie,2017,7.3,75,7.5,,,6.6,
tt6412452,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs (2018),Movie,2018,7.3,79,7.2,89,,6.5,
tt1070874,The Trial of the Chicago 7,The Trial of the Chicago 7 (2020),Movie,2020,7.8,76,7.8,89,,7.1,
tt10324144,Article 15,Article 15 (2019),Movie,2019,8.2,,7.7,90,,6.9,
tt7214762,Jim & Andy: The Great Beyond,Jim & Andy: The Great Beyond (2017),Movie,2017,7.7,77,7.6,,,7.4,
tt8526872,Dolemite Is My Name,Dolemite Is My Name (2019),Movie,2019,7.3,76,7.1,97,,6.3,
tt2396589,Mudbound,Mudbound (2017),Movie,2017,7.4,85,7.5,97,,6.7,
tt0367110,Swades,Swades (2004),Movie,2004,8.2,,7.4,83,,6.7,
tt9412098,Fyre,Fyre (2019),Movie,2019,7.2,75,6.9,92,,6.5,
tt11388580,Miss Americana,Miss Americana (2020),Movie,2020,7.4,65,7.9,91,,6.2,
tt3455224,Virunga,Virunga (2014),Movie,2014,8.2,95,8,,,7.8,
tt11649338,Black Friday,Black Friday (2021),Movie,2021,,,9,,,,
tt4934950,Talvar,Talvar (2015),Movie,2015,8.2,,7.6,,,6.4,
tt7984766,The King,The King (2019),Movie,2019,7.2,62,7.2,71,,6.4,
tt8271714,John Mulaney: Kid Gorgeous at Radio City,John Mulaney: Kid Gorgeous at Radio City (2018),Movie,2018,8,,8,,,6.7,
tt6292852,I Am Mother,I Am Mother (2019),Movie,2019,6.7,64,6.7,91,,6.2,
tt10474134,Dime Quién Soy: Mistress of War,Dime Quién Soy: Mistress of War (2020–2021),TVSeries,2020,6.9,,7.6,,,5.9,
tt0407887,The Departed,The Departed (2006),Movie,2006,8.5,85,8.2,90,,7.9,
